* Problem:    Airplane Landing Problem
* Class:      MIP
* Rows:       590
* Columns:    440 (380 integer, 380 binary)
* Non-zeros:  1960
* Format:     Free MPS
*
NAME Airplane_Landing_Problem
 E E3,5
 G S3,6
 G S6,3
 E E3,6
 G S3,7
 G S7,3
 E E3,7
 G S3,8
 G S8,3
 E E3,8
 G S3,9
 G S9,3
 E E3,9
 G S3,10
 G S10,3
 E E3,10
 G S3,11
 G S11,3
 E E3,11
 G S3,12
 G S12,3
 E E3,12
 G S3,13
 G S13,3
 E E3,13
 G S3,14
 G S14,3
 E E3,14
 G S3,15
 G S15,3
 E E3,15
 G S3,16
 G S16,3
 E E3,16
 G S3,17
 G S17,3
 E E3,17
 G S3,18
 G S18,3
 E E3,18
 G S3,19
 G S19,3
 E E3,19
 G S4,5
 G S5,4
 E E4,5
 G S4,6
 G S6,4
 E E4,6
 G S4,7
 G S7,4
 E E4,7
 G S4,8
 G S8,4
 E E4,8
 G S4,9
 G S9,4
 E E4,9
 G S4,10
 G S10,4
 E E4,10
 G S4,11
 G S11,4
 E E4,11
 G S4,12
 G S12,4
 E E4,12
 G S4,13
 G S13,4
 E E4,13
 G S4,14
 G S14,4
 E E4,14
 G S4,15
 G S15,4
 E E4,15
 G S4,16
 G S16,4
 E E4,16
 G S4,17
 G S17,4
 E E4,17
 G S4,18
 G S18,4
 E E4,18
 G S4,19
 G S19,4
 E E4,19
 G S5,6
 G S6,5
 E E5,6
 G S5,7
 G S7,5
 E E5,7
 G S5,8
 G S8,5
 E E5,8
 G S5,9
 G S9,5
 E E5,9
 G S5,10
 G S10,5
 E E5,10
 G S5,11
 G S11,5
 E E5,11
 G S5,12
 G S12,5
 E E5,12
 G S5,13
 G S13,5
 E E5,13
 G S5,14
 G S14,5
 E E5,14
 G S5,15
 G S15,5
 E E5,15
 G S5,16
 G S16,5
 E E5,16
 G S5,17
 G S17,5
 E E5,17
 G S5,18
 G S18,5
 E E5,18
 G S5,19
 G S19,5
 E E5,19
 G S6,7
 G S7,6
 E E6,7
 G S6,8
 G S8,6
 E E6,8
 G S6,9
 G S9,6
 E E6,9
 G S6,10
 G S10,6
 E E6,10
 G S6,11
 G S11,6
 E E6,11
 G S6,12
 G S12,6
 E E6,12
 G S6,13
 G S13,6
 E E6,13
 G S6,14
 G S14,6
 E E6,14
 G S6,15
 G S15,6
 E E6,15
 G S6,16
 G S16,6
 E E6,16
 G S6,17
 G S17,6
 E E6,17
 G S6,18
 G S18,6
 E E6,18
 G S6,19
 G S19,6
 E E6,19
 G S7,8
 G S8,7
 E E7,8
 G S7,9
 G S9,7
 E E7,9
 G S7,10
 G S10,7
 E E7,10
 G S7,11
 G S11,7
 E E7,11
 G S7,12
 G S12,7
 E E7,12
 G S7,13
 G S13,7
 E E7,13
 G S7,14
 G S14,7
 E E7,14
 G S7,15
 G S15,7
 E E7,15
 G S7,16
 G S16,7
 E E7,16
 G S7,17
 G S17,7
 E E7,17
 G S7,18
 G S18,7
 E E7,18
 G S7,19
 G S19,7
 E E7,19
 G S8,9
 G S9,8
 E E8,9
 G S8,10
 G S10,8
 E E8,10
 G S8,11
 G S11,8
 E E8,11
 G S8,12
 G S12,8
 E E8,12
 G S8,13
 G S13,8
 E E8,13
 G S8,14
 G S14,8
 E E8,14
 G S8,15
 G S15,8
 E E8,15
 G S8,16
 G S16,8
 E E8,16
 G S8,17
 G S17,8
 E E8,17
 G S8,18
 G S18,8
 E E8,18
 G S8,19
 G S19,8
 E E8,19
 G S9,10
 G S10,9
 E E9,10
 G S9,11
 G S11,9
 E E9,11
 G S9,12
 G S12,9
 E E9,12
 G S9,13
 G S13,9
 E E9,13
 G S9,14
 G S14,9
 E E9,14
 G S9,15
 G S15,9
 E E9,15
 G S9,16
 G S16,9
 E E9,16
 G S9,17
 G S17,9
 E E9,17
 G S9,18
 G S18,9
 E E9,18
 G S9,19
 G S19,9
 E E9,19
 G S10,11
 G S11,10
 E E10,11
 G S10,12
 G S12,10
 E E10,12
 G S10,13
 G S13,10
 E E10,13
 G S10,14
 G S14,10
 E E10,14
 G S10,15
 G S15,10
 E E10,15
 G S10,16
 G S16,10
 E E10,16
 G S10,17
 G S17,10
 E E10,17
 G S10,18
 G S18,10
 E E10,18
 G S10,19
 G S19,10
 E E10,19
 G S11,12
 G S12,11
 E E11,12
 G S11,13
 G S13,11
 E E11,13
 G S11,14
 G S14,11
 E E11,14
 G S11,15
 G S15,11
 E E11,15
 G S11,16
 G S16,11
 E E11,16
 G S11,17
 G S17,11
 E E11,17
 G S11,18
 G S18,11
 E E11,18
 G S11,19
 G S19,11
 E E11,19
 G S12,13
 G S13,12
 E E12,13
 G S12,14
 G S14,12
 E E12,14
 G S12,15
 G S15,12
 E E12,15
 G S12,16
 G S16,12
 E E12,16
 G S12,17
 G S17,12
 E E12,17
 G S12,18
 G S18,12
 E E12,18
 G S12,19
 G S19,12
 E E12,19
 G S13,14
 G S14,13
 E E13,14
 G S13,15
 G S15,13
 E E13,15
 G S13,16
 G S16,13
 E E13,16
 G S13,17
 G S17,13
 E E13,17
 G S13,18
 G S18,13
 E E13,18
 G S13,19
 G S19,13
 E E13,19
 G S14,15
 G S15,14
 E E14,15
 G S14,16
 G S16,14
 E E14,16
 G S14,17
 G S17,14
 E E14,17
 G S14,18
 G S18,14
 E E14,18
 G S14,19
 G S19,14
 E E14,19
 G S15,16
 G S16,15
 E E15,16
 G S15,17
 G S17,15
 E E15,17
 G S15,18
 G S18,15
 E E15,18
 G S15,19
 G S19,15
 E E15,19
 G S16,17
 G S17,16
 E E16,17
 G S16,18
 G S18,16
 E E16,18
 G S16,19
 G S19,16
 E E16,19
 G S17,18
 G S18,17
 E E17,18
 G S17,19
 G S19,17
 E E17,19
 G S18,19
 G S19,18
 E E18,19
COLUMNS
 a0 Cost 30 bc0 1
 b0 Cost 30 bc0 -1
 x0 S19,0 1 S0,19 -1
 x0 S18,0 1 S0,18 -1
 x0 S17,0 1 S0,17 -1
 x0 S16,0 1 S0,16 -1
 x0 S15,0 1 S0,15 -1
 x0 S14,0 1 S0,14 -1
 x0 S13,0 1 S0,13 -1
 x0 S12,0 1 S0,12 -1
 x0 S11,0 1 S0,11 -1
 x0 S10,0 1 S0,10 -1
 x0 S9,0 1 S0,9 -1
 x0 S8,0 1 S0,8 -1
 x0 S7,0 1 S0,7 -1
 x0 S6,0 1 S0,6 -1
 x0 S5,0 1 S0,5 -1
 x0 S4,0 1 S0,4 -1
 x0 S3,0 1 S0,3 -1
 x0 S2,0 1 S0,2 -1
 x0 S1,0 1 S0,1 -1
 x0 bc0 1
 a1 Cost 10 bc1 1
 b1 Cost 10 bc1 -1
 x1 S19,1 1 S1,19 -1
 x1 S18,1 1 S1,18 -1
 x1 S17,1 1 S1,17 -1
 x1 S16,1 1 S1,16 -1
 x1 S15,1 1 S1,15 -1
 x1 S14,1 1 S1,14 -1
 x1 S13,1 1 S1,13 -1
 x1 S12,1 1 S1,12 -1
 x1 S11,1 1 S1,11 -1
 x1 S10,1 1 S1,10 -1
 x1 S9,1 1 S1,9 -1
 x1 S8,1 1 S1,8 -1
 x1 S7,1 1 S1,7 -1
 x1 S6,1 1 S1,6 -1
 x1 S5,1 1 S1,5 -1
 x1 S4,1 1 S1,4 -1
 x1 S3,1 1 S1,3 -1
 x1 S2,1 1 S1,2 -1
 x1 S1,0 -1 S0,1 1
 x1 bc1 1
 a2 Cost 10 bc2 1
 b2 Cost 10 bc2 -1
 x2 S19,2 1 S2,19 -1
 x2 S18,2 1 S2,18 -1
 x2 S17,2 1 S2,17 -1
 x2 S16,2 1 S2,16 -1
 x2 S15,2 1 S2,15 -1
 x2 S14,2 1 S2,14 -1
 x2 S13,2 1 S2,13 -1
 x2 S12,2 1 S2,12 -1
 x2 S11,2 1 S2,11 -1
 x2 S10,2 1 S2,10 -1
 x2 S9,2 1 S2,9 -1
 x2 S8,2 1 S2,8 -1
 x2 S7,2 1 S2,7 -1
 x2 S6,2 1 S2,6 -1
 x2 S5,2 1 S2,5 -1
 x2 S4,2 1 S2,4 -1
 x2 S3,2 1 S2,3 -1
 x2 S2,1 -1 S1,2 1
 x2 S2,0 -1 S0,2 1
 x2 bc2 1
 a3 Cost 30 bc3 1
 b3 Cost 30 bc3 -1
 x3 S19,3 1 S3,19 -1
 x3 S18,3 1 S3,18 -1
 x3 S17,3 1 S3,17 -1
 x3 S16,3 1 S3,16 -1
 x3 S15,3 1 S3,15 -1
 x3 S14,3 1 S3,14 -1
 x3 S13,3 1 S3,13 -1
 x3 S12,3 1 S3,12 -1
 x3 S11,3 1 S3,11 -1
 x3 S10,3 1 S3,10 -1
 x3 S9,3 1 S3,9 -1
 x3 S8,3 1 S3,8 -1
 x3 S7,3 1 S3,7 -1
 x3 S6,3 1 S3,6 -1
 x3 S5,3 1 S3,5 -1
 x3 S4,3 1 S3,4 -1
 x3 S3,2 -1 S2,3 1
 x3 S3,1 -1 S1,3 1
 x3 S3,0 -1 S0,3 1
 x3 bc3 1
 a4 Cost 10 bc4 1
 b4 Cost 10 bc4 -1
 x4 S19,4 1 S4,19 -1
 x4 S18,4 1 S4,18 -1
 x4 S17,4 1 S4,17 -1
 x4 S16,4 1 S4,16 -1
 x4 S15,4 1 S4,15 -1
 x4 S14,4 1 S4,14 -1
 x4 S13,4 1 S4,13 -1
 x4 S12,4 1 S4,12 -1
 x4 S11,4 1 S4,11 -1
 x4 S10,4 1 S4,10 -1
 x4 S9,4 1 S4,9 -1
 x4 S8,4 1 S4,8 -1
 x4 S7,4 1 S4,7 -1
 x4 S6,4 1 S4,6 -1
 x4 S5,4 1 S4,5 -1
 x4 S4,3 -1 S3,4 1
 x4 S4,2 -1 S2,4 1
 x4 S4,1 -1 S1,4 1
 x4 S4,0 -1 S0,4 1
 x4 bc4 1
 a5 Cost 30 bc5 1
 b5 Cost 30 bc5 -1
 x5 S19,5 1 S5,19 -1
 x5 S18,5 1 S5,18 -1
 x5 S17,5 1 S5,17 -1
 x5 S16,5 1 S5,16 -1
 x5 S15,5 1 S5,15 -1
 x5 S14,5 1 S5,14 -1
 x5 S13,5 1 S5,13 -1
 x5 S12,5 1 S5,12 -1
 x5 S11,5 1 S5,11 -1
 x5 S10,5 1 S5,10 -1
 x5 S9,5 1 S5,9 -1
 x5 S8,5 1 S5,8 -1
 x5 S7,5 1 S5,7 -1
 x5 S6,5 1 S5,6 -1
 x5 S5,4 -1 S4,5 1
 x5 S5,3 -1 S3,5 1
 x5 S5,2 -1 S2,5 1
 x5 S5,1 -1 S1,5 1
 x5 S5,0 -1 S0,5 1
 x5 bc5 1
 a6 Cost 10 bc6 1
 b6 Cost 10 bc6 -1
 x6 S19,6 1 S6,19 -1
 x6 S18,6 1 S6,18 -1
 x6 S17,6 1 S6,17 -1
 x6 S16,6 1 S6,16 -1
 x6 S15,6 1 S6,15 -1
 x6 S14,6 1 S6,14 -1
 x6 S13,6 1 S6,13 -1
 x6 S12,6 1 S6,12 -1
 x6 S11,6 1 S6,11 -1
 x6 S10,6 1 S6,10 -1
 x6 S9,6 1 S6,9 -1
 x6 S8,6 1 S6,8 -1
 x6 S7,6 1 S6,7 -1
 x6 S6,5 -1 S5,6 1
 x6 S6,4 -1 S4,6 1
 x6 S6,3 -1 S3,6 1
 x6 S6,2 -1 S2,6 1
 x6 S6,1 -1 S1,6 1
 x6 S6,0 -1 S0,6 1
 x6 bc6 1
 a7 Cost 30 bc7 1
 b7 Cost 30 bc7 -1
 x7 S19,7 1 S7,19 -1
 x7 S18,7 1 S7,18 -1
 x7 S17,7 1 S7,17 -1
 x7 S16,7 1 S7,16 -1
 x7 S15,7 1 S7,15 -1
 x7 S14,7 1 S7,14 -1
 x7 S13,7 1 S7,13 -1
 x7 S12,7 1 S7,12 -1
 x7 S11,7 1 S7,11 -1
 x7 S10,7 1 S7,10 -1
 x7 S9,7 1 S7,9 -1
 x7 S8,7 1 S7,8 -1
 x7 S7,6 -1 S6,7 1
 x7 S7,5 -1 S5,7 1
 x7 S7,4 -1 S4,7 1
 x7 S7,3 -1 S3,7 1
 x7 S7,2 -1 S2,7 1
 x7 S7,1 -1 S1,7 1
 x7 S7,0 -1 S0,7 1
 x7 bc7 1
 a8 Cost 30 bc8 1
 b8 Cost 30 bc8 -1
 x8 S19,8 1 S8,19 -1
 x8 S18,8 1 S8,18 -1
 x8 S17,8 1 S8,17 -1
 x8 S16,8 1 S8,16 -1
 x8 S15,8 1 S8,15 -1
 x8 S14,8 1 S8,14 -1
 x8 S13,8 1 S8,13 -1
 x8 S12,8 1 S8,12 -1
 x8 S11,8 1 S8,11 -1
 x8 S10,8 1 S8,10 -1
 x8 S9,8 1 S8,9 -1
 x8 S8,7 -1 S7,8 1
 x8 S8,6 -1 S6,8 1
 x8 S8,5 -1 S5,8 1
 x8 S8,4 -1 S4,8 1
 x8 S8,3 -1 S3,8 1
 x8 S8,2 -1 S2,8 1
 x8 S8,1 -1 S1,8 1
 x8 S8,0 -1 S0,8 1
 x8 bc8 1
 a9 Cost 30 bc9 1
 b9 Cost 30 bc9 -1
 x9 S19,9 1 S9,19 -1
 x9 S18,9 1 S9,18 -1
 x9 S17,9 1 S9,17 -1
 x9 S16,9 1 S9,16 -1
 x9 S15,9 1 S9,15 -1
 x9 S14,9 1 S9,14 -1
 x9 S13,9 1 S9,13 -1
 x9 S12,9 1 S9,12 -1
 x9 S11,9 1 S9,11 -1
 x9 S10,9 1 S9,10 -1
 x9 S9,8 -1 S8,9 1
 x9 S9,7 -1 S7,9 1
 x9 S9,6 -1 S6,9 1
 x9 S9,5 -1 S5,9 1
 x9 S9,4 -1 S4,9 1
 x9 S9,3 -1 S3,9 1
 x9 S9,2 -1 S2,9 1
 x9 S9,1 -1 S1,9 1
 x9 S9,0 -1 S0,9 1
 x9 bc9 1
 a10 Cost 30 bc10 1
 b10 Cost 30 bc10 -1
 x10 S19,10 1 S10,19 -1
 x10 S18,10 1 S10,18 -1
 x10 S17,10 1 S10,17 -1
 x10 S16,10 1 S10,16 -1
 x10 S15,10 1 S10,15 -1
 x10 S14,10 1 S10,14 -1
 x10 S13,10 1 S10,13 -1
 x10 S12,10 1 S10,12 -1
 x10 S11,10 1 S10,11 -1
 x10 S10,9 -1 S9,10 1
 x10 S10,8 -1 S8,10 1
 x10 S10,7 -1 S7,10 1
 x10 S10,6 -1 S6,10 1
 x10 S10,5 -1 S5,10 1
 x10 S10,4 -1 S4,10 1
 x10 S10,3 -1 S3,10 1
 x10 S10,2 -1 S2,10 1
 x10 S10,1 -1 S1,10 1
 x10 S10,0 -1 S0,10 1
 x10 bc10 1
 a11 Cost 30 bc11 1
 b11 Cost 30 bc11 -1
 x11 S19,11 1 S11,19 -1
 x11 S18,11 1 S11,18 -1
 x11 S17,11 1 S11,17 -1
 x11 S16,11 1 S11,16 -1
 x11 S15,11 1 S11,15 -1
 x11 S14,11 1 S11,14 -1
 x11 S13,11 1 S11,13 -1
 x11 S12,11 1 S11,12 -1
 x11 S11,10 -1 S10,11 1
 x11 S11,9 -1 S9,11 1
 x11 S11,8 -1 S8,11 1
 x11 S11,7 -1 S7,11 1
 x11 S11,6 -1 S6,11 1
 x11 S11,5 -1 S5,11 1
 x11 S11,4 -1 S4,11 1
 x11 S11,3 -1 S3,11 1
 x11 S11,2 -1 S2,11 1
 x11 S11,1 -1 S1,11 1
 x11 S11,0 -1 S0,11 1
 x11 bc11 1
 a12 Cost 10 bc12 1
 b12 Cost 10 bc12 -1
 x12 S19,12 1 S12,19 -1
 x12 S18,12 1 S12,18 -1
 x12 S17,12 1 S12,17 -1
 x12 S16,12 1 S12,16 -1
 x12 S15,12 1 S12,15 -1
 x12 S14,12 1 S12,14 -1
 x12 S13,12 1 S12,13 -1
 x12 S12,11 -1 S11,12 1
 x12 S12,10 -1 S10,12 1
 x12 S12,9 -1 S9,12 1
 x12 S12,8 -1 S8,12 1
 x12 S12,7 -1 S7,12 1
 x12 S12,6 -1 S6,12 1
 x12 S12,5 -1 S5,12 1
 x12 S12,4 -1 S4,12 1
 x12 S12,3 -1 S3,12 1
 x12 S12,2 -1 S2,12 1
 x12 S12,1 -1 S1,12 1
 x12 S12,0 -1 S0,12 1
 x12 bc12 1
 a13 Cost 10 bc13 1
 b13 Cost 10 bc13 -1
 x13 S19,13 1 S13,19 -1
 x13 S18,13 1 S13,18 -1
 x13 S17,13 1 S13,17 -1
 x13 S16,13 1 S13,16 -1
 x13 S15,13 1 S13,15 -1
 x13 S14,13 1 S13,14 -1
 x13 S13,12 -1 S12,13 1
 x13 S13,11 -1 S11,13 1
 x13 S13,10 -1 S10,13 1
 x13 S13,9 -1 S9,13 1
 x13 S13,8 -1 S8,13 1
 x13 S13,7 -1 S7,13 1
 x13 S13,6 -1 S6,13 1
 x13 S13,5 -1 S5,13 1
 x13 S13,4 -1 S4,13 1
 x13 S13,3 -1 S3,13 1
 x13 S13,2 -1 S2,13 1
 x13 S13,1 -1 S1,13 1
 x13 S13,0 -1 S0,13 1
 x13 bc13 1
 a14 Cost 10 bc14 1
 b14 Cost 10 bc14 -1
 x14 S19,14 1 S14,19 -1
 x14 S18,14 1 S14,18 -1
 x14 S17,14 1 S14,17 -1
 x14 S16,14 1 S14,16 -1
 x14 S15,14 1 S14,15 -1
 x14 S14,13 -1 S13,14 1
 x14 S14,12 -1 S12,14 1
 x14 S14,11 -1 S11,14 1
 x14 S14,10 -1 S10,14 1
 x14 S14,9 -1 S9,14 1
 x14 S14,8 -1 S8,14 1
 x14 S14,7 -1 S7,14 1
 x14 S14,6 -1 S6,14 1
 x14 S14,5 -1 S5,14 1
 x14 S14,4 -1 S4,14 1
 x14 S14,3 -1 S3,14 1
 x14 S14,2 -1 S2,14 1
 x14 S14,1 -1 S1,14 1
 x14 S14,0 -1 S0,14 1
 x14 bc14 1
 a15 Cost 10 bc15 1
 b15 Cost 10 bc15 -1
 x15 S19,15 1 S15,19 -1
 x15 S18,15 1 S15,18 -1
 x15 S17,15 1 S15,17 -1
 x15 S16,15 1 S15,16 -1
 x15 S15,14 -1 S14,15 1
 x15 S15,13 -1 S13,15 1
 x15 S15,12 -1 S12,15 1
 x15 S15,11 -1 S11,15 1
 x15 S15,10 -1 S10,15 1
 x15 S15,9 -1 S9,15 1
 x15 S15,8 -1 S8,15 1
 x15 S15,7 -1 S7,15 1
 x15 S15,6 -1 S6,15 1
 x15 S15,5 -1 S5,15 1
 x15 S15,4 -1 S4,15 1
 x15 S15,3 -1 S3,15 1
 x15 S15,2 -1 S2,15 1
 x15 S15,1 -1 S1,15 1
 x15 S15,0 -1 S0,15 1
 x15 bc15 1
 a16 Cost 10 bc16 1
 b16 Cost 10 bc16 -1
 x16 S19,16 1 S16,19 -1
 x16 S18,16 1 S16,18 -1
 x16 S17,16 1 S16,17 -1
 x16 S16,15 -1 S15,16 1
 x16 S16,14 -1 S14,16 1
 x16 S16,13 -1 S13,16 1
 x16 S16,12 -1 S12,16 1
 x16 S16,11 -1 S11,16 1
 x16 S16,10 -1 S10,16 1
 x16 S16,9 -1 S9,16 1
 x16 S16,8 -1 S8,16 1
 x16 S16,7 -1 S7,16 1
 x16 S16,6 -1 S6,16 1
 x16 S16,5 -1 S5,16 1
 x16 S16,4 -1 S4,16 1
 x16 S16,3 -1 S3,16 1
 x16 S16,2 -1 S2,16 1
 x16 S16,1 -1 S1,16 1
 x16 S16,0 -1 S0,16 1
 x16 bc16 1
 a17 Cost 10 bc17 1
 b17 Cost 10 bc17 -1
 x17 S19,17 1 S17,19 -1
 x17 S18,17 1 S17,18 -1
 x17 S17,16 -1 S16,17 1
 x17 S17,15 -1 S15,17 1
 x17 S17,14 -1 S14,17 1
 x17 S17,13 -1 S13,17 1
 x17 S17,12 -1 S12,17 1
 x17 S17,11 -1 S11,17 1
 x17 S17,10 -1 S10,17 1
 x17 S17,9 -1 S9,17 1
 x17 S17,8 -1 S8,17 1
 x17 S17,7 -1 S7,17 1
 x17 S17,6 -1 S6,17 1
 x17 S17,5 -1 S5,17 1
 x17 S17,4 -1 S4,17 1
 x17 S17,3 -1 S3,17 1
 x17 S17,2 -1 S2,17 1
 x17 S17,1 -1 S1,17 1
 x17 S17,0 -1 S0,17 1
 x17 bc17 1
 a18 Cost 30 bc18 1
 b18 Cost 30 bc18 -1
 x18 S19,18 1 S18,19 -1
 x18 S18,17 -1 S17,18 1
 x18 S18,16 -1 S16,18 1
 x18 S18,15 -1 S15,18 1
 x18 S18,14 -1 S14,18 1
 x18 S18,13 -1 S13,18 1
 x18 S18,12 -1 S12,18 1
 x18 S18,11 -1 S11,18 1
 x18 S18,10 -1 S10,18 1
 x18 S18,9 -1 S9,18 1
 x18 S18,8 -1 S8,18 1
 x18 S18,7 -1 S7,18 1
 x18 S18,6 -1 S6,18 1
 x18 S18,5 -1 S5,18 1
 x18 S18,4 -1 S4,18 1
 x18 S18,3 -1 S3,18 1
 x18 S18,2 -1 S2,18 1
 x18 S18,1 -1 S1,18 1
 x18 S18,0 -1 S0,18 1
 x18 bc18 1
 a19 Cost 30 bc19 1
 b19 Cost 30 bc19 -1
 x19 S19,18 -1 S18,19 1
 x19 S19,17 -1 S17,19 1
 x19 S19,16 -1 S16,19 1
 x19 S19,15 -1 S15,19 1
 x19 S19,14 -1 S14,19 1
 x19 S19,13 -1 S13,19 1
 x19 S19,12 -1 S12,19 1
 x19 S19,11 -1 S11,19 1
 x19 S19,10 -1 S10,19 1
 x19 S19,9 -1 S9,19 1
 x19 S19,8 -1 S8,19 1
 x19 S19,7 -1 S7,19 1
 x19 S19,6 -1 S6,19 1
 x19 S19,5 -1 S5,19 1
 x19 S19,4 -1 S4,19 1
 x19 S19,3 -1 S3,19 1
 x19 S19,2 -1 S2,19 1
 x19 S19,1 -1 S1,19 1
 x19 S19,0 -1 S0,19 1
 x19 bc19 1
 M0000001 'MARKER' 'INTORG'
 u0,1 E0,1 1 S1,0 553
 u0,1 S0,1 -15
 u1,0 E0,1 1 S1,0 -15
 u1,0 S0,1 329
 u0,2 E0,2 1 S2,0 486
 u0,2 S0,2 -15
 u2,0 E0,2 1 S2,0 -15
 u2,0 S0,2 352
 u0,3 E0,3 1 S3,0 490
 u0,3 S0,3 -8
 u3,0 E0,3 1 S3,0 -8
 u3,0 S0,3 383
 u0,4 E0,4 1 S4,0 660
 u0,4 S0,4 -15
 u4,0 E0,4 1 S4,0 -15
 u4,0 S0,4 285
 u0,5 E0,5 1 S5,0 449
 u0,5 S0,5 -8
 u5,0 E0,5 1 S5,0 -8
 u5,0 S0,5 391
 u0,6 E0,6 1 S6,0 589
 u0,6 S0,6 -15
 u6,0 E0,6 1 S6,0 -15
 u6,0 S0,6 301
 u0,7 E0,7 1 S7,0 448
 u0,7 S0,7 -8
 u7,0 E0,7 1 S7,0 -8
 u7,0 S0,7 388
 u0,8 E0,8 1 S8,0 503
 u0,8 S0,8 -8
 u8,0 E0,8 1 S8,0 -8
 u8,0 S0,8 369
 u0,9 E0,9 1 S9,0 494
 u0,9 S0,9 -8
 u9,0 E0,9 1 S9,0 -8
 u9,0 S0,9 369
 u0,10 E0,10 1 S10,0 540
 u0,10 S0,10 -8
 u10,0 E0,10 1 S10,0 -8
 u10,0 S0,10 354
 u0,11 E0,11 1 S11,0 476
 u0,11 S0,11 -8
 u11,0 E0,11 1 S11,0 -8
 u11,0 S0,11 372
 u0,12 E0,12 1 S12,0 759
 u0,12 S0,12 -15
 u12,0 E0,12 1 S12,0 -15
 u12,0 S0,12 225
 u0,13 E0,13 1 S13,0 715
 u0,13 S0,13 -15
 u13,0 E0,13 1 S13,0 -15
 u13,0 S0,13 236
 u0,14 E0,14 1 S14,0 613
 u0,14 S0,14 -15
 u14,0 E0,14 1 S14,0 -15
 u14,0 S0,14 272
 u0,15 E0,15 1 S15,0 892
 u0,15 S0,15 -15
 u15,0 E0,15 1 S15,0 -15
 u15,0 S0,15 176
 u0,16 E0,16 1 S16,0 743
 u0,16 S0,16 -15
 u16,0 E0,16 1 S16,0 -15
 u16,0 S0,16 217
 u0,17 E0,17 1 S17,0 651
 u0,17 S0,17 -15
 u17,0 E0,17 1 S17,0 -15
 u17,0 S0,17 249
 u0,18 E0,18 1 S18,0 532
 u0,18 S0,18 -8
 u18,0 E0,18 1 S18,0 -8
 u18,0 S0,18 342
 u0,19 E0,19 1 S19,0 549
 u0,19 S0,19 -8
 u19,0 E0,19 1 S19,0 -8
 u19,0 S0,19 335
 u1,2 E1,2 1 S2,1 404
 u1,2 S1,2 -3
 u2,1 E1,2 1 S2,1 -3
 u2,1 S1,2 494
 u1,3 E1,3 1 S3,1 408
 u1,3 S1,3 -15
 u3,1 E1,3 1 S3,1 -15
 u3,1 S1,3 525
 u1,4 E1,4 1 S4,1 578
 u1,4 S1,4 -3
 u4,1 E1,4 1 S4,1 -3
 u4,1 S1,4 427
 u1,5 E1,5 1 S5,1 367
 u1,5 S1,5 -15
 u5,1 E1,5 1 S5,1 -15
 u5,1 S1,5 533
